store,lat,long,gpsens,trsens,traffic,sales,gp,avgprice,yoysales,yoyq,yoygp,yoyavgp,yoygc
GRANVILLE,-33.838625,150.999594,right,sensitive,2810,28781.18153,21527.76404,3.7646,0.1371,0.323001728,0.1227,-0.1405,0.018210272
GREENACRE II,-33.902073,151.065151,high,sensitive,2206,20076.29045,14983.13939,3.6451,0.1043,0.221741553,0.0879,-0.0961,0.04380327
GREENACRE NORTH,-33.894722,151.066592,right,sensitive,951,9369.541832,6933.480528,3.4415,-0.01,0.1145313,-0.0278,-0.1118,-0.131628432
GREENSBOROUGH PLAZA F/C,-37.703643,145.100486,right,sensitive,420,5281.025552,3902.859108,3.1831,-0.0936,-0.004769921,-0.1142,-0.0892,-0.164381929
GREENSBOROUGH,-37.703251,145.102811,right,sensitive,1470,13299.69095,9863.395136,3.4532,-0.0068,0.113930993,-0.0298,-0.1084,-0.019607843
GREGORY HILLS,-34.021684,150.760929,right,not sensitive,1435,13296.72108,9934.299512,3.5585,0.2729,0.374587124,0.2486,-0.074,0.232555564
GRETA,-32.678612,151.388597,high,sensitive,1014,9740.771524,7278.656536,3.6272,-0.128,-0.062147487,-0.145,-0.0702,-0.184671205
GRIFFITH,-34.28878,146.055241,right,sensitive,1929,21436.27596,16070.41668,3.7736,0.0192,0.092922348,0.0021,-0.0675,-0.042000502
GUNDAGAI,-35.084435,148.092034,insufficient,insufficient,1396,13777.02363,10420.21195,3.7328,-0.0088,0.065051672,-0.0252,-0.0694,-0.195083165
GUNGAHLIN ACT,-35.183784,149.132395,high,sensitive,2139,20544.42699,15252.1755,3.5512,0.0732,0.215138035,0.0523,-0.1168,0.034580688
GUNNEDAH,-30.97403,150.257722,right,sensitive,1691,17100.89757,12854.65311,3.3712,0.0517,0.200727469,0.0255,-0.1241,-0.051131073
GYMPIE,-26.200029,152.667189,right,not sensitive,2858,27408.12618,20409.03249,3.5887,0.0047,0.101876481,-0.0264,-0.0882,-0.07874503
HABERFIELD,-33.884596,151.136298,right,sensitive,1194,11325.36034,8434.945992,3.7717,0.0992,0.246771694,0.0786,-0.1184,0.02118416
HALLETT COVE,-35.074104,138.509958,high,sensitive,895,8554.386192,6334.051008,3.4621,0.0013,0.118383398,-0.0171,-0.1047,0.023141511
HAMILTON,-37.745555,142.02,right,sensitive,1471,14391.18273,10772.97558,3.7732,-0.0088,0.054429355,-0.0273,-0.06,-0.048230841
HAMPTON PARK,-38.043491,145.250995,right,not sensitive,2646,24784.21047,18345.99976,3.799,0.0395,0.126990467,0.0154,-0.0777,-0.04123802
HAPPY VALLEY,-35.084136,138.561347,right,sensitive,1091,10647.23667,7876.119396,3.4655,0.0303,0.136152137,0.0154,-0.0932,-0.044900972
HARBOURSIDE,-33.871195,151.198732,insufficient,not sensitive,904,10979.84337,8222.934984,3.2551,-0.0032,0.209629953,-0.0296,-0.1759,-0.201361702
HARBOURTOWN,-27.932983,153.390144,right,sensitive,2752,27590.86351,20322.8131,3.3045,-0.0059,0.110958198,-0.0342,-0.1052,-0.029874516
HARRISTOWN,-27.566013,151.929029,high,not sensitive,2248,23823.67315,17617.9313,3.6069,0.0582,0.173408128,0.0281,-0.0982,0.02371704
HASTINGS,-38.308891,145.18229,right,not sensitive,1536,14718.57096,10793.9564,3.4475,0.0421,0.180232029,0.016,-0.1171,-0.069770092
HAWTHORN,-37.822406,145.034559,right,not sensitive,706,6653.353168,4915.026888,3.5836,0.0549,0.169588801,0.0254,-0.0981,0.07922461
HAY STREET EAST,-31.954708,115.860482,high,sensitive,774,8382.4321,6216.130856,3.4118,0.1987,0.472235705,0.1507,-0.1858,-0.003644275
HEATHCOTE,-34.078755,151.010998,right,not sensitive,2875,26909.53712,20178.52551,3.5987,0.0514,0.127498062,0.0307,-0.0675,-0.066026745
HEATHERBRAE,-32.794113,151.7236,high,sensitive,3768,33766.587,25316.02924,3.578,0.0996,0.187930016,0.0818,-0.0743,0.019606809
HEATHERTON,-37.951642,145.078754,right,not sensitive,1269,11231.46579,8291.822636,3.5454,0.1647,0.229126584,0.1498,-0.0524,0.167816183
HEIDELBERG,-37.755046,145.050519,insufficient,insufficient,1543,14130.56144,10527.22771,3.6253,0.0707,0.201404754,0.0529,-0.1088,0.005778333
HELENSVALE,-27.905673,153.318093,low,not sensitive,2074,20894.53814,15441.95082,3.2901,-0.1427,-0.022344862,-0.1697,-0.1231,-0.195331395
HELENSVALE WESTFIELD,-27.927836,153.336371,right,sensitive,712,8070.96846,5966.319636,2.8525,-0.044,0.136552396,-0.0711,-0.1589,-0.220827268
HERVEY BAY,-25.288579,152.836738,right,not sensitive,2468,24571.04903,18164.35432,3.4625,0.0245,0.189966104,-0.0077,-0.1391,-0.092116514
HEXHAM,-32.84752,151.69381,high,sensitive,1660,15851.13678,11800.43519,3.4925,-0.0084,0.125257826,-0.0337,-0.1188,-0.036818851
HIGH WYCOMBE,-31.935233,116.004036,right,sensitive,1505,15480.02976,11529.83272,3.8544,0.035,0.140366096,0.0131,-0.0924,-0.05547572
